order_id,order_date,region,country,product_category,product_name,sales_channel,quantity,unit_price,total_sales,profit,customer_segment
ORD-000001,2024-01-04,East,India,Furniture,Standing Desk,Retail,10,505.85,5058.5,1525.46,Home Office
ORD-000002,2022-09-27,West,Germany,Grocery,Breakfast Cereal,Online,6,5.46,32.76,8.09,Consumer
ORD-000003,2022-01-16,South,Argentina,Grocery,Organic Coffee Beans,Online,6,12.99,77.94,26.03,Consumer
ORD-000004,2024-03-21,West,France,Electronics,Wireless Headphones,Retail,5,159.45,797.25,237.06,Consumer
ORD-000005,2022-12-14,West,France,Electronics,Smartphone X,Online,3,802.03,2406.09,602.13,Corporate
ORD-000006,2022-01-23,West,France,Grocery,Organic Coffee Beans,Retail,11,12.03,132.33,38.51,Consumer
ORD-000007,2022-01-15,West,Germany,Furniture,Standing Desk,Online,1,480.07,480.07,179.67,Home Office
ORD-000008,2022-01-29,East,China,Clothing,Women's Dress,Retail,6,83.46,500.76,244.66,Home Office
ORD-000009,2022-10-05,East,China,Electronics,Laptop Pro,Online,1,1214.93,1214.93,318.68,Home Office
ORD-000010,2022-01-12,West,UK,Grocery,Breakfast Cereal,Online,9,6.47,58.23,12.64,Corporate
ORD-000011,2022-05-30,East,Japan,Grocery,Organic Coffee Beans,Retail,17,12.78,217.26,73.67,Consumer
ORD-000012,2022-10-12,West,France,Electronics,Wireless Headphones,Online,3,137.96,413.88,133.44,Consumer
ORD-000013,2022-06-11,East,Japan,Electronics,4K Monitor,Online,1,435.38,435.38,141.53,Corporate
ORD-000014,2022-10-01,South,Brazil,Electronics,Laptop Pro,Online,3,1280.53,3841.59,750.11,Home Office
ORD-000015,2022-02-09,South,Brazil,Grocery,Organic Coffee Beans,Online,12,11.67,140.04,37.75,Home Office
ORD-000016,2023-08-17,West,France,Electronics,Laptop Pro,Retail,9,1239.0,11151.0,2102.14,Home Office
ORD-000017,2022-02-14,North,USA,Clothing,Running Shoes,Online,4,109.56,438.24,168.23,Corporate
ORD-000018,2022-10-22,East,India,Electronics,Laptop Pro,Retail,5,1201.51,6007.55,1315.68,Home Office
ORD-000019,2022-03-15,West,UK,Grocery,Breakfast Cereal,Retail,11,6.46,71.06,20.86,Consumer
ORD-000020,2022-01-29,East,China,Furniture,Standing Desk,Online,2,490.22,980.44,356.92,Home Office
ORD-000021,2022-01-04,North,Canada,Electronics,Wireless Headphones,Retail,8,149.51,1196.08,435.41,Corporate
ORD-000022,2022-06-22,South,Argentina,Furniture,Bookshelf,Online,2,118.12,236.24,56.3,Consumer
ORD-000023,2023-02-05,South,Argentina,Clothing,Women's Dress,Retail,3,78.98,236.94,100.57,Consumer
ORD-000024,2023-03-12,South,Argentina,Grocery,Organic Coffee Beans,Retail,3,12.4,37.2,11.66,Corporate
ORD-000025,2023-09-04,North,Canada,Furniture,Bookshelf,Retail,8,124.58,996.64,312.48,Corporate
ORD-000026,2022-01-16,North,Canada,Grocery,Olive Oil Premium,Retail,16,19.03,304.48,85.47,Corporate
ORD-000027,2023-04-09,South,Brazil,Grocery,Organic Coffee Beans,Online,13,12.23,158.99,52.94,Home Office
ORD-000028,2024-01-22,North,USA,Electronics,Laptop Pro,Retail,3,1237.59,3712.77,815.38,Corporate
ORD-000029,2022-11-16,East,Japan,Electronics,Smartphone X,Retail,8,867.49,6939.92,1702.73,Corporate
ORD-000030,2022-04-19,East,India,Grocery,Olive Oil Premium,Online,5,16.97,84.85,21.51,Home Office
ORD-000031,2022-04-30,East,India,Electronics,Laptop Pro,Retail,2,1156.01,2312.02,586.33,Corporate
ORD-000032,2022-01-23,West,Germany,Clothing,Men's Jacket,Online,4,94.84,379.36,170.08,Corporate
ORD-000033,2022-01-14,North,Canada,Grocery,Organic Coffee Beans,Retail,15,10.89,163.35,46.57,Consumer
ORD-000034,2022-07-01,East,India,Electronics,Smartphone X,Online,5,814.28,4071.4,931.11,Corporate
ORD-000035,2023-11-13,East,India,Furniture,Bookshelf,Retail,7,122.96,860.72,247.69,Consumer
ORD-000036,2022-05-29,West,UK,Electronics,Smartphone X,Online,1,795.33,795.33,160.3,Home Office
ORD-000037,2022-04-18,East,Japan,Clothing,Running Shoes,Online,5,100.36,501.8,227.82,Home Office
ORD-000038,2022-08-22,South,Brazil,Furniture,Bookshelf,Online,4,116.86,467.44,148.72,Corporate
ORD-000039,2022-02-02,East,China,Grocery,Organic Coffee Beans,Retail,13,11.18,145.34,52.15,Home Office
ORD-000040,2022-09-05,East,India,Furniture,Standing Desk,Online,3,471.61,1414.83,374.36,Corporate
ORD-000041,2022-01-01,South,Brazil,Grocery,Organic Coffee Beans,Online,5,13.07,65.35,22.44,Consumer
ORD-000042,2022-04-19,North,Canada,Grocery,Breakfast Cereal,Online,7,5.62,39.34,10.87,Corporate
ORD-000043,2022-01-01,South,Brazil,Electronics,Wireless Headphones,Retail,9,137.96,1241.64,375.53,Consumer
ORD-000044,2022-06-28,East,China,Electronics,Wireless Headphones,Online,3,146.13,438.39,143.88,Home Office
ORD-000045,2022-01-08,South,Brazil,Electronics,4K Monitor,Online,5,397.34,1986.7,646.8,Corporate
ORD-000046,2022-06-24,East,China,Clothing,Women's Dress,Retail,1,79.56,79.56,30.57,Home Office
ORD-000047,2022-02-24,North,USA,Electronics,Wireless Headphones,Online,2,136.76,273.52,114.23,Corporate
ORD-000048,2022-02-01,West,UK,Clothing,Running Shoes,Online,1,116.77,116.77,39.14,Home Office
ORD-000049,2022-01-01,East,India,Clothing,Running Shoes,Online,1,104.58,104.58,38.77,Home Office
ORD-000050,2022-04-14,South,Argentina,Clothing,Women's Dress,Online,4,86.51,346.04,119.78,Consumer
ORD-000051,2022-05-09,North,USA,Grocery,Breakfast Cereal,Online,4,6.05,24.2,6.63,Consumer
ORD-000052,2022-10-23,North,Canada,Grocery,Organic Coffee Beans,Online,2,12.4,24.8,7.92,Corporate
ORD-000053,2022-02-06,West,France,Electronics,Laptop Pro,Retail,6,1136.03,6816.18,1797.16,Corporate
ORD-000054,2024-02-12,East,Japan,Electronics,Smartphone X,Online,3,825.73,2477.19,507.58,Home Office
ORD-000055,2022-01-24,South,Brazil,Clothing,Men's Jacket,Online,3,88.2,264.6,113.82,Corporate
ORD-000056,2022-01-14,North,USA,Clothing,Running Shoes,Online,2,101.6,203.2,70.53,Consumer
ORD-000057,2022-01-08,East,China,Clothing,Men's Jacket,Online,1,90.42,90.42,34.66,Corporate
ORD-000058,2022-07-19,North,Canada,Clothing,Running Shoes,Retail,10,114.77,1147.7,426.35,Home Office
ORD-000059,2022-11-19,West,Germany,Electronics,Wireless Headphones,Online,5,143.08,715.4,287.66,Consumer
ORD-000060,2022-01-16,East,China,Electronics,Smartphone X,Retail,8,784.86,6278.88,1606.81,Home Office
ORD-000061,2022-11-30,North,Canada,Grocery,Breakfast Cereal,Online,9,6.17,55.53,13.77,Corporate
ORD-000062,2022-08-07,South,Brazil,Clothing,Women's Dress,Retail,7,74.91,524.37,236.57,Home Office
ORD-000063,2024-02-24,North,Canada,Grocery,Olive Oil Premium,Online,8,18.99,151.92,46.14,Home Office
ORD-000064,2022-01-01,North,USA,Grocery,Organic Coffee Beans,Online,5,10.93,54.65,13.81,Corporate
ORD-000065,2022-01-17,West,UK,Electronics,Smartphone X,Online,3,849.39,2548.17,651.42,Home Office
ORD-000066,2022-03-03,West,Germany,Furniture,Standing Desk,Online,5,460.79,2303.95,814.57,Consumer
ORD-000067,2022-06-10,West,France,Clothing,Women's Dress,Online,5,80.08,400.4,161.95,Corporate
ORD-000068,2022-02-06,South,Argentina,Electronics,Laptop Pro,Online,2,1168.2,2336.4,419.01,Home Office
ORD-000069,2023-02-16,North,Canada,Clothing,Women's Dress,Retail,2,80.29,160.58,54.51,Home Office
ORD-000070,2022-01-01,East,Japan,Clothing,Running Shoes,Online,4,104.9,419.6,157.67,Home Office
ORD-000071,2022-01-13,West,France,Electronics,Smartphone X,Online,4,817.55,3270.2,745.33,Corporate
ORD-000072,2024-04-03,West,Germany,Electronics,Smartphone X,Online,4,776.4,3105.6,819.72,Home Office
ORD-000073,2022-01-01,West,Germany,Furniture,Ergonomic Chair,Retail,8,225.44,1803.52,568.75,Consumer
ORD-000074,2022-01-18,East,China,Clothing,Running Shoes,Online,5,107.43,537.15,181.44,Home Office
ORD-000075,2022-10-26,North,USA,Electronics,Laptop Pro,Online,1,1217.78,1217.78,233.46,Corporate
ORD-000076,2022-02-22,East,Japan,Electronics,4K Monitor,Online,2,386.46,772.92,237.79,Corporate
ORD-000077,2023-08-24,South,Brazil,Grocery,Olive Oil Premium,Online,9,17.34,156.06,48.55,Home Office
ORD-000078,2023-02-21,East,Japan,Grocery,Breakfast Cereal,Online,9,6.41,57.69,11.96,Consumer
ORD-000079,2023-06-23,South,Argentina,Furniture,Standing Desk,Online,2,460.11,920.22,342.73,Home Office
ORD-000080,2023-06-05,South,Brazil,Clothing,Running Shoes,Online,1,105.3,105.3,38.7,Corporate
ORD-000081,2022-02-11,South,Brazil,Clothing,Men's Jacket,Online,3,90.4,271.2,105.23,Home Office
ORD-000082,2022-05-12,South,Brazil,Electronics,Wireless Headphones,Retail,6,140.35,842.1,344.11,Consumer
ORD-000083,2022-05-17,East,Japan,Grocery,Organic Coffee Beans,Retail,8,12.01,96.08,32.04,Corporate
ORD-000084,2023-10-28,South,Brazil,Electronics,4K Monitor,Retail,8,360.18,2881.44,897.67,Corporate
ORD-000085,2022-06-03,North,USA,Electronics,4K Monitor,Online,2,396.23,792.46,226.56,Consumer
ORD-000086,2023-03-03,West,Germany,Electronics,4K Monitor,Online,5,426.67,2133.35,576.8,Corporate
ORD-000087,2022-01-16,West,France,Electronics,Wireless Headphones,Online,4,137.76,551.04,213.33,Consumer
ORD-000088,2023-08-15,South,Argentina,Clothing,Men's Jacket,Online,3,91.66,274.98,118.69,Consumer
ORD-000089,2022-01-17,North,USA,Grocery,Olive Oil Premium,Retail,15,19.59,293.85,93.33,Corporate
ORD-000090,2022-11-12,West,Germany,Furniture,Standing Desk,Retail,7,505.16,3536.12,1135.34,Corporate
ORD-000091,2022-06-15,West,Germany,Clothing,Women's Dress,Online,2,76.44,152.88,68.81,Home Office
ORD-000092,2022-07-17,South,Argentina,Clothing,Men's Jacket,Retail,10,86.39,863.9,409.0,Home Office
ORD-000093,2022-01-05,East,China,Furniture,Ergonomic Chair,Online,1,265.35,265.35,75.48,Corporate
ORD-000094,2024-07-06,East,China,Clothing,Women's Dress,Online,5,83.36,416.8,159.75,Home Office
ORD-000095,2022-06-12,South,Brazil,Grocery,Organic Coffee Beans,Online,6,11.59,69.54,17.84,Consumer
ORD-000096,2022-01-19,West,France,Grocery,Organic Coffee Beans,Online,8,11.22,89.76,29.21,Home Office
